2018-04-16 16:41:42 reliableudp.go:13 DEBUG this=0xc420086000
2018-04-16 16:41:42 udpsession.go:93 DEBUG u.recv=0xc420086000
2018-04-16 16:41:42 udpsession.go:29 DEBUG ListUDP OK. IP=0.0.0.0 PORT:8008
2018-04-16 16:41:42 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:42 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:42 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:42 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:42 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:42 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:42 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:42 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:42 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:42 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:42 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:42 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:42 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:42 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:42 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:42 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:42 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:42 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:42 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:42 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:42 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:42 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:42 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:42 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:42 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:42 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:42 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:42 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:42 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:42 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:42 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:42 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:42 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:42 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:42 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:42 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:42 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:42 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:42 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:42 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:42 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:42 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:42 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:42 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:42 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:43 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:43 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:43 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:43 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:43 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:43 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:43 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:43 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:43 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:43 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:43 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:43 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:43 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:43 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:43 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:43 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:43 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:43 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:43 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:43 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:43 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:43 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:43 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:43 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:43 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:43 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:43 udpsendbuffer.go:40 DEBUG bufferList=[]
2018-04-16 16:41:43 udpsendbuffer.go:40 DEBUG bufferList=[]
